bank,hito_code,source_order,easting_m,northing_m,epsg
LEFT,HMI-82,82,306056.2034,8682075.3377,32718
LEFT,HMI-83,83,306158.3327,8682171.1170,32718
LEFT,HMI-84,84,306285.8621,8682104.4419,32718
LEFT,HMI-85,85,306395.9290,8682111.8502,32718
LEFT,HMI-86,86,306488.5334,8682099.1502,32718
LEFT,HMI-87,87,306585.2105,8682140.7194,32718
LEFT,HMI-88,88,306736.4485,8682270.2698,32718
LEFT,HMI-89,89,306915.3733,8682377.7570,32718
LEFT,HMI-90,90,307069.0000,8682439.7950,32718
LEFT,HMI-91,91,307180.0000,8682551.7950,32718
LEFT,HMI-92,92,307265.9469,8682694.5962,32718
LEFT,HMI-93,93,307362.5200,8682797.1224,32718
LEFT,HMI-94,94,307457.1088,8682859.9611,32718
LEFT,HMI-95,95,307580.1403,8682984.3155,32718
LEFT,HMI-96,96,307718.0000,8683104.7950,32718
LEFT,HMI-97,97,307915.0000,8683291.7950,32718
LEFT,HMI-98,98,308097.3885,8683302.4776,32718
LEFT,HMI-99,99,308283.0000,8683347.7950,32718
LEFT,HMI-100,100,308444.2579,8683399.1830,32718
LEFT,HMI-101,101,308563.0000,8683502.7950,32718
LEFT,HMI-102,102,308641.0000,8683642.7950,32718
LEFT,HMI-103,103,308726.0000,8683790.7950,32718
LEFT,HMI-104,104,308892.0000,8683930.7950,32718
LEFT,HMI-105,105,308950.0000,8684032.7950,32718
LEFT,HMI-106,106,309181.0000,8684201.7950,32718
LEFT,HMI-107,107,309306.0000,8684325.7950,32718
LEFT,HMI-108,108,309435.0000,8684473.7950,32718
LEFT,HMI-109,109,309647.0000,8684496.7950,32718
LEFT,HMI-110,110,309863.0000,8684457.7950,32718
LEFT,HMI-111,111,310007.0000,8684405.7950,32718
LEFT,HMI-112,112,310238.0000,8684379.7950,32718
LEFT,HMI-113,113,310410.0000,8684437.7950,32718
LEFT,HMI-114,114,310523.0000,8684570.7950,32718
LEFT,HMI-115,115,310697.0000,8684799.7950,32718
LEFT,HMI-116,116,310798.0000,8684861.7950,32718
LEFT,HMI-117,117,310946.0000,8685076.7950,32718
LEFT,HMI-118,118,311032.0000,8685189.7950,32718
LEFT,HMI-119,119,311101.9863,8685373.1440,32718
LEFT,HMI-120,120,311210.4657,8685498.8213,32718
LEFT,HMI-121,121,311273.9658,8685706.5197,32718
LEFT,HMI-122,122,311399.6431,8685965.8119,32718
LEFT,HMI-123,123,311488.2787,8686238.3332,32718
LEFT,HMI-124,124,311596.7581,8686367.9793,32718
LEFT,HMI-125,125,311724.0000,8686508.7950,32718
LEFT,HMI-126,126,311869.2795,8686610.0736,32718
LEFT,HMI-127,127,311913.7296,8686671.4570,32718
LEFT,HMI-128,128,312199.0000,8686724.7950,32718
LEFT,HMI-129,129,312370.0000,8686914.7950,32718
